Front,Back
"Top K Frequent Elements (347, Medium): Given an integer array nums and an integer k, return the k most frequent elements. You may return the answer in any order. Example: Input: nums = [1,1,1,2,2,3], k = 2. Output: [1,2].","Brute Force: 1. Count the frequency of each element using a hash map. 2. Sort the elements based on their frequency. 3. Return the top k elements. Time Complexity: O(n log n) due to sorting. Optimized Solution: 1. Count the frequency of each element using a hash map. 2. Use a min-heap to keep track of the top k elements. 3. Iterate through the frequency map, adding elements to the heap. If the heap exceeds size k, remove the smallest element. 4. Extract elements from the heap to get the result. Time Complexity: O(n log k) due to heap operations. Key Points: - Using a min-heap allows efficient tracking of the top k elements. - This approach is more efficient than sorting all elements, especially when k is much smaller than n."
"50. Pow(x, n) (Medium): Implement a function that calculates x raised to the power n (x^n). Input: x = 2.00000, n = 10. Output: 1024.00000. Input: x = 2.10000, n = 3. Output: 9.26100. Input: x = 2.00000, n = -2. Output: 0.25000.","Brute Force: Multiply x by itself n times. Time Complexity: O(n). Optimized: Use binary exponentiation (fast power algorithm) by recursively dividing the exponent n by 2 and squaring the base x. If n is negative, compute the reciprocal of x and use -n as the exponent. Time Complexity: O(log n). Key Points: - Handle negative exponents by computing the reciprocal of x. - Use divide-and-conquer to reduce the number of multiplications. - Efficiently compute large powers by leveraging properties of exponents. [Source: ([algo.monster](https://algo.monster/liteproblems/50?utm_source=openai))]"
"Merge Sorted Array (88, Easy): Merge two sorted arrays nums1 and nums2 into a single sorted array in-place within nums1. nums1 has a length of m + n, where the first m elements are the initial sorted elements, and the last n elements are set to 0 and should be ignored. nums2 has a length of n. Input: nums1 = [1,2,3,0,0,0], m = 3; nums2 = [2,5,6], n = 3. Output: [1,2,2,3,5,6].","Brute Force: Copy elements from nums1 and nums2 into a new array, sort it, and copy back to nums1. Time Complexity: O((m + n) log(m + n)). Optimized: Use two pointers starting from the end of nums1 and nums2, compare elements, and place the larger one at the end of nums1. Time Complexity: O(m + n). Key Points: Utilize the extra space at the end of nums1 to merge in-place from the back to the front, avoiding overwriting elements that haven't been compared yet."
"543. Diameter of Binary Tree (Easy): Given the root of a binary tree, return the length of the diameter of the tree. The diameter is the length of the longest path between any two nodes, which may or may not pass through the root. The length of a path is measured by the number of edges between nodes. Sample Test Cases: Input: root = [1,2,3,4,5] Output: 3 Explanation: The longest path is [4,2,1,3] or [5,2,1,3], each with 3 edges. Input: root = [1,2] Output: 1 Explanation: The longest path is [2,1] with 1 edge.","Brute Force Solution: For each node, calculate the depth of its left and right subtrees, then compute the diameter passing through that node as the sum of these depths. Repeat this for all nodes to find the maximum diameter. Time Complexity: O(n²), where n is the number of nodes, due to repeated depth calculations. Optimized Solution: Utilize a depth-first search (DFS) to compute the depth of each subtree while simultaneously updating the maximum diameter found. This approach ensures each node is visited only once. Time Complexity: O(n), as each node is processed once. Key Points: - The diameter at any node is the sum of the depths of its left and right subtrees. - A single DFS traversal can compute both the depth and update the maximum diameter efficiently. - This method avoids redundant calculations, improving performance over the brute force approach."
"71. Simplify Path (medium): Given an absolute Unix-style file path, simplify it to its canonical form by resolving '.' (current directory), '..' (parent directory), and redundant slashes. Input: '/home//foo/'. Output: '/home/foo'.","Brute Force: Iteratively replace '//' with '/', '/./' with '/', and handle '/../' by removing the preceding directory. Time Complexity: O(n²). Optimized: Split the path by '/', use a stack to process components: ignore '' and '.', pop stack for '..', push valid directory names. Time Complexity: O(n). Key Points: Use a stack to manage directory levels; handle '..' by popping the stack; ignore '.' and empty components; reconstruct the path from the stack."
"Best Time to Buy and Sell Stock (121, Easy): Given an array 'prices' where prices[i] is the price of a stock on the ith day, determine the maximum profit achievable by buying on one day and selling on a later day. If no profit is possible, return 0. Sample Test Cases: Input: [7,1,5,3,6,4] Output: 5; Input: [7,6,4,3,1] Output: 0.","Brute Force Solution: Iterate through all pairs of days, calculating profit for each buy-sell combination, and track the maximum profit. Time Complexity: O(n²). Optimized Solution: Traverse the array once, keeping track of the minimum price encountered so far and the maximum profit achievable by selling at the current day's price. Time Complexity: O(n). Key Points: Maintain two variables—one for the minimum price and another for the maximum profit; update these as you iterate through the array to ensure an efficient solution."
"Find Peak Element (162, Medium): Given a 0-indexed integer array `nums`, find a peak element and return its index. A peak element is an element that is strictly greater than its neighbors. You may assume that `nums[-1] = nums[n] = -∞`. You must write an algorithm that runs in O(log n) time. Examples: Input: [1,2,3,1] Output: 2. Input: [1,2,1,3,5,6,4] Output: 1 or 5.",Brute Force: Iterate through the array and check each element to see if it's greater than its neighbors. Time Complexity: O(n). Optimized Solution: Use binary search by comparing the middle element with its right neighbor to decide which half to search. Time Complexity: O(log n). Key Points: Utilize binary search to achieve logarithmic time complexity; compare mid element with its right neighbor to determine search direction; ensure to handle edge cases where the peak is at the beginning or end of the array.
"Binary Tree Right Side View (199, Medium): Given the root of a binary tree, return the values of the nodes visible from the right side, ordered from top to bottom. Example: Input: root = [1,2,3,null,5,null,4]. Output: [1,3,4].","Brute Force: Perform a level-order traversal (BFS) and collect the last node of each level. Time Complexity: O(n). Optimized: Use BFS to traverse the tree level by level, adding the rightmost node of each level to the result list. Time Complexity: O(n). Key Points: Utilize a queue for BFS; at each level, the last node processed is the rightmost node."
"560. Subarray Sum Equals K (Medium): Given an array of integers nums and an integer k, return the total number of continuous subarrays whose sum equals k. Example: Input: nums = [1,1,1], k = 2. Output: 2.","Brute Force: Iterate over all possible subarrays, calculate their sums, and count those equal to k. Time Complexity: O(n³). Optimized: Use a hashmap to store cumulative sums and their frequencies. For each element, update the cumulative sum and check if (cumulative sum - k) exists in the hashmap to count valid subarrays. Time Complexity: O(n). Key Points: Utilize cumulative sums and a hashmap to efficiently count subarrays summing to k."
"1650. Lowest Common Ancestor of a Binary Tree III (Medium): Given two nodes of a binary tree, each with a reference to its parent, return their lowest common ancestor (LCA). The LCA is the lowest node that has both nodes as descendants (including a node being a descendant of itself). Example: Input: root = [3,5,1,6,2,0,8,null,null,7,4], p = 5, q = 1. Output: 3. Explanation: The LCA of nodes 5 and 1 is 3.","Brute Force: 1. Traverse from node p to the root, storing all ancestors in a set. 2. Traverse from node q to the root, checking each ancestor against the set. 3. The first common ancestor found is the LCA. Time Complexity: O(h), where h is the height of the tree. Optimized Solution: 1. Initialize two pointers, a and b, at nodes p and q respectively. 2. Traverse upwards: move a to its parent; if a reaches null, redirect it to q. Move b to its parent; if b reaches null, redirect it to p. 3. Continue until a equals b; this node is the LCA. Time Complexity: O(h), where h is the height of the tree. Key Points: - Utilizing parent references allows upward traversal without additional data structures. - Redirecting pointers upon reaching the root ensures both pointers traverse equal distances, guaranteeing they meet at the LCA."
"31. Next Permutation (Medium): Given an array of integers representing a permutation, find the next lexicographically greater permutation. If no such permutation exists, rearrange the array to the lowest possible order (i.e., sorted in ascending order). The replacement must be in place and use only constant extra memory. Examples: Input: [1,2,3] → Output: [1,3,2]; Input: [3,2,1] → Output: [1,2,3]; Input: [1,1,5] → Output: [1,5,1].","Brute Force: Generate all permutations, sort them, and find the next one. Time Complexity: O(n!). Optimized: 1) Find the first decreasing element from the right (pivot). 2) Find the smallest element greater than the pivot to its right and swap them. 3) Reverse the subarray after the pivot. Time Complexity: O(n). Key Points: Identify the pivot by scanning from right to left; swap with the smallest larger element; reverse the suffix to get the next permutation."
"346. Moving Average from Data Stream (Easy): Design a class to calculate the moving average of a stream of integers. Implement the `MovingAverage` class with methods: `MovingAverage(int size)` to initialize the object with the size of the window, and `double next(int val)` to return the moving average of the last `size` values of the stream. Example: `MovingAverage movingAverage = new MovingAverage(3); movingAverage.next(1); // return 1.0 movingAverage.next(10); // return 5.5 movingAverage.next(3); // return 4.66667 movingAverage.next(5); // return 6.0`","Brute Force: Store all incoming values in a list. For each `next(val)` call, add the new value to the list and compute the sum of the last `size` elements to calculate the average. Time Complexity: O(size) per `next` call. Optimized Solution: Use a queue to maintain the sliding window of the last `size` values and a running sum. For each `next(val)` call, add the new value to the queue and update the running sum. If the queue exceeds the window size, remove the oldest value and adjust the sum accordingly. Compute the average by dividing the running sum by the number of elements in the queue. Time Complexity: O(1) per `next` call. Key Points: Maintain a fixed-size queue to store the most recent values. Keep a running sum to efficiently compute the moving average. Ensure that when the queue exceeds the window size, the oldest value is removed to maintain the correct window size. This approach ensures constant time complexity for each `next` call, making it efficient for large data streams."
"Minimum Window Substring (76, Hard): Given two strings s and t, find the minimum window in s which will contain all the characters in t. If no such window exists, return an empty string. Input: s = 'ADOBECODEBANC', t = 'ABC'. Output: 'BANC'.","Brute Force: Generate all substrings of s and check if each contains all characters of t. Time Complexity: O(n³). Optimized: Use a sliding window with two pointers to expand and contract the window while maintaining character counts. Time Complexity: O(n). Key Points: Utilize a character frequency map for t, expand the window until all characters are included, then contract to find the minimum window."
"Copy List with Random Pointer (138, Medium): Given a linked list where each node contains an additional random pointer, return a deep copy of the list. Input: head = [[7,null],[13,0],[11,4],[10,2],[1,0]]. Output: [[7,null],[13,0],[11,4],[10,2],[1,0]].",Brute Force: Use a hashmap to store original-to-copy node mappings. First pass: create copies of nodes and store in hashmap. Second pass: set next and random pointers using the hashmap. Time Complexity: O(n). Optimized: Interleave copied nodes with original nodes. First pass: create and insert copied nodes after each original node. Second pass: set random pointers for copied nodes. Third pass: separate the original and copied lists. Time Complexity: O(n). Key Points: Interleaving nodes allows setting random pointers without extra space. Separating the lists restores the original list and extracts the copied list.
"236. Lowest Common Ancestor of a Binary Tree (medium): Given a binary tree, find the lowest common ancestor (LCA) of two given nodes in the tree. The LCA is defined as the lowest node that has both nodes as descendants (including a node being a descendant of itself). Example: Input: root = [3,5,1,6,2,0,8,null,null,7,4], p = 5, q = 1. Output: 3. Explanation: The LCA of nodes 5 and 1 is 3.","Brute Force: Traverse the tree to find paths to both nodes, then compare paths to find the last common node. Time Complexity: O(n) for each path, O(n) space for path storage. Optimized Solution: Use a recursive approach to traverse the tree. If the current node is null or matches one of the target nodes, return it. Recursively search left and right subtrees. If both sides return non-null, the current node is the LCA. If only one side returns non-null, propagate that result up. Time Complexity: O(n), where n is the number of nodes. Key Points: Utilize depth-first search; handle cases where one node is an ancestor of the other; ensure both nodes exist in the tree."
"498. Diagonal Traverse (Medium): Given an m x n matrix, return all elements in diagonal order. Example: Input: [[1,2,3],[4,5,6],[7,8,9]] Output: [1,2,4,7,5,3,6,8,9]","Brute Force: Group elements by diagonals using sum of indices, reverse even-indexed diagonals, and concatenate. Time Complexity: O(m * n). Optimized: Simulate diagonal traversal with direction flag, adjusting indices and direction at boundaries. Time Complexity: O(m * n). Key Points: Manage direction changes at matrix boundaries; ensure each element is processed once."
"Custom Sort String (791, Medium): Given two strings `order` and `s`, where `order` contains unique characters representing a custom sort order, rearrange the characters in `s` to match this order. Characters in `s` not present in `order` can appear in any position after the ordered characters.

**Example 1:**
- Input: `order = cba""`","`s = ""abcd""`"
"938. Range Sum of BST (Easy): Given the root of a Binary Search Tree (BST) and two integers low and high, return the sum of values of all nodes with a value in the inclusive range [low, high]. Sample Test Cases: Input: root = [10,5,15,3,7,null,18], low = 7, high = 15. Output: 32. Explanation: Nodes 7, 10, and 15 are in the range [7, 15]. 7 + 10 + 15 = 32. Input: root = [10,5,15,3,7,13,18,1,null,6], low = 6, high = 10. Output: 23. Explanation: Nodes 6, 7, and 10 are in the range [6, 10]. 6 + 7 + 10 = 23.","Brute Force Solution: Traverse all nodes in the BST and sum the values of nodes within the range [low, high]. Time Complexity: O(n), where n is the number of nodes in the BST. Optimized Solution: Utilize the BST property to prune unnecessary branches: 1. If the current node's value is within [low, high], add it to the sum and explore both left and right subtrees. 2. If the current node's value is less than low, explore only the right subtree. 3. If the current node's value is greater than high, explore only the left subtree. Time Complexity: O(n) in the worst case (unbalanced tree), but can be less in a balanced tree due to pruning. Key Points: Leverage the BST property to avoid traversing nodes that cannot fall within the range, thereby optimizing the search process."
"Shortest Path in Binary Matrix (1091, Medium): Given an n x n binary matrix grid, return the length of the shortest clear path from the top-left to the bottom-right cell. A clear path consists of cells with value 0, connected 8-directionally. If no such path exists, return -1. Examples: Input: grid = [[0,1],[1,0]] Output: 2; Input: grid = [[0,0,0],[1,1,0],[1,1,0]] Output: 4; Input: grid = [[1,0,0],[1,1,0],[1,1,0]] Output: -1.","Brute Force: Explore all possible paths using Depth-First Search (DFS), checking each path's validity and length. Time Complexity: O(8^(n²)) due to exponential growth with grid size. Optimized Solution: Use Breadth-First Search (BFS) to explore the shortest path first, utilizing a queue to traverse the grid level by level. Time Complexity: O(n²) in the worst case, as each cell is processed once. Key Points: BFS is suitable for finding the shortest path in unweighted grids; consider all 8 possible directions for movement; mark cells as visited to avoid reprocessing."
"Two Sum (1, Easy): Given an array of integers `nums` and an integer `target`, return indices of the two numbers such that they add up to `target`. You may assume that each input would have exactly one solution, and you may not use the same element twice. You can return the answer in any order. Example: Input: nums = [2,7,11,15], target = 9. Output: [0,1].","Brute Force: Iterate through each pair of numbers in the array to check if their sum equals the target. Time Complexity: O(n²). Optimized Solution: Use a hash table to store each number's index as you iterate through the array. For each number, calculate its complement (target - current number) and check if it's already in the hash table. If it is, return the current index and the index of the complement. Time Complexity: O(n). Key Points: This approach leverages the hash table for constant-time lookups, reducing the need for nested loops and improving efficiency."
"34. Find First and Last Position of Element in Sorted Array (Medium): Given an array of integers `nums` sorted in non-decreasing order, find the starting and ending position of a given `target` value. If `target` is not found in the array, return `[-1, -1]`. You must write an algorithm with `O(log n)` runtime complexity. Examples: Input: nums = [5,7,7,8,8,10], target = 8. Output: [3,4]. Input: nums = [5,7,7,8,8,10], target = 6. Output: [-1,-1]. Input: nums = [], target = 0. Output: [-1,-1].","Brute Force: Iterate through the array to find the first and last occurrences of the target. Time Complexity: O(n). Optimized Solution: Utilize binary search to find the first and last positions of the target. First, perform a binary search to find the leftmost (first) occurrence of the target by adjusting the search range to the left upon finding the target. Then, perform a binary search to find the rightmost (last) occurrence by adjusting the search range to the right upon finding the target. Time Complexity: O(log n). Key Points: Leverage the sorted nature of the array to apply binary search, ensuring an O(log n) solution. Conduct two separate binary searches: one for the first occurrence and another for the last occurrence of the target."
"146. LRU Cache (Medium): Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the `LRUCache` class with methods `get(int key)` and `put(int key, int value)`, both operating in O(1) time complexity. If the cache reaches its capacity, it should evict the least recently used item. Example: `LRUCache lRUCache = new LRUCache(2); lRUCache.put(1, 1); lRUCache.put(2, 2); lRUCache.get(1); // returns 1 lRUCache.put(3, 3); // evicts key 2 lRUCache.get(2); // returns -1 lRUCache.put(4, 4); // evicts key 1 lRUCache.get(1); // returns -1 lRUCache.get(3); // returns 3 lRUCache.get(4); // returns 4`","Brute Force: Use a list to store key-value pairs; on each `get` or `put`, search the list to update or retrieve values, and move the accessed item to the front. Time Complexity: O(n) per operation. Optimized Solution: Utilize a combination of a hash map and a doubly linked list. The hash map provides O(1) access to nodes, while the doubly linked list maintains the order of usage. On `get`, move the accessed node to the front; on `put`, add new nodes to the front and remove the least recently used node from the tail if capacity is exceeded. Time Complexity: O(1) per operation. Key Points: - Hash map ensures O(1) access to cache items. - Doubly linked list maintains the order of usage, allowing O(1) updates to the order. - This combination efficiently supports the LRU cache operations within the required time complexity."
"378. Kth Smallest Element in a Sorted Matrix (medium): Given an n x n matrix where each row and column is sorted in ascending order, return the kth smallest element in the matrix. Note that it is the kth smallest element in the sorted order, not the kth distinct element. Example: Input: matrix = [[1,5,9],[10,11,13],[12,13,15]], k = 8. Output: 13. Explanation: The elements in the matrix are [1,5,9,10,11,12,13,13,15], and the 8th smallest number is 13.","Brute Force: Flatten the matrix into a list, sort it, and return the kth element. Time Complexity: O(n² log n²). Optimized Solution: Use a min-heap to merge rows efficiently. Initialize the heap with the first element of each row. Extract the smallest element from the heap k times; the kth extraction gives the kth smallest element. Time Complexity: O(k log n). Key Points: Utilize the sorted property of rows and columns; maintain a heap of size at most n; only push the next element in the same row to avoid duplicates."
"670. Maximum Swap (Medium): Given a non-negative integer, swap two digits at most once to obtain the maximum possible number. Return this maximum number. Examples: Input: 2736, Output: 7236. Input: 9973, Output: 9973.","Brute Force: Convert number to list of digits. Try all possible pairs of swaps, convert back to number, and track the maximum. Time Complexity: O(n²). Optimized: Convert number to list of digits. Track the last occurrence of each digit (0-9). For each digit, check for a larger digit to its right using the last occurrence data. If found, swap and return the new number. Time Complexity: O(n). Key Points: Use a greedy approach to find the first beneficial swap. Tracking the last occurrence of each digit allows efficient identification of optimal swaps."
"5. Longest Palindromic Substring (Medium): Given a string s, return the longest palindromic substring in s. Examples: Input: 'babad' Output: 'bab' (or 'aba'); Input: 'cbbd' Output: 'bb'.","Brute Force: Check all substrings and verify if each is a palindrome. Time Complexity: O(n³). Optimized Solution: Expand around each character and pair of consecutive characters as potential centers, expanding outwards while the substring is a palindrome. Time Complexity: O(n²). Key Points: This approach leverages the fact that a palindrome mirrors around its center, reducing unnecessary checks. ([kodeao.com](https://kodeao.com/longest-palindromic-substring-leetcode-5/?utm_source=openai))"
"14. Longest Common Prefix (Easy): Write a function to find the longest common prefix string amongst an array of strings. If there is no common prefix, return an empty string \\"". Example 1: Input: strs = [\""flower\","\""flow\"
"Subsets (78, Medium): Given an integer array nums of unique elements, return all possible subsets (the power set). The solution set must not contain duplicate subsets. Example: Input: nums = [1,2,3]. Output: [[], [1], [2], [1,2], [3], [1,3], [2,3], [1,2,3]].","Brute Force: Generate all possible combinations of elements, checking each subset for uniqueness. Time Complexity: O(n * 2^n). Optimized: Use backtracking to explore inclusion/exclusion of each element, or bit manipulation to represent subsets. Time Complexity: O(n * 2^n). Key Points: Backtracking systematically explores all combinations; bit manipulation leverages binary representation to generate subsets efficiently."
"Sum Root to Leaf Numbers (129, Medium): Given a binary tree containing digits from 0 to 9, each root-to-leaf path represents a number. Return the total sum of all root-to-leaf numbers.

**Example 1:**
Input: [1,2,3]
Output: 25
Explanation:
- Path 1->2 represents the number 12.
- Path 1->3 represents the number 13.
Total sum = 12 + 13 = 25.

**Example 2:**
Input: [4,9,0,5,1]
Output: 1026
Explanation:
- Path 4->9->5 represents the number 495.
- Path 4->9->1 represents the number 491.
- Path 4->0 represents the number 40.
Total sum = 495 + 491 + 40 = 1026.","**Brute Force Approach:**
1. Generate all root-to-leaf paths.
2. Convert each path to its corresponding number.
3. Sum all these numbers.

**Time Complexity:** O(n), where n is the number of nodes in the tree.

**Optimized Approach:**
1. Use Depth-First Search (DFS) to traverse the tree.
2. Maintain a running sum that represents the current number formed.
3. At each node, update the running sum: `current_sum = current_sum * 10 + node.val`.
4. If a leaf node is reached, add the current sum to the total sum.
5. Recursively apply the process to left and right subtrees.

**Time Complexity:** O(n), where n is the number of nodes in the tree.

**Key Points:**
- Utilize DFS to traverse the tree efficiently.
- Maintain a running sum to represent the number formed along the path.
- Add the running sum to the total sum upon reaching a leaf node."
